"Protein.ID","H26_vs_DksgA_PEP","H26_vs_DksgA_KsgA_PEP","H26_vs_DksgA_ksgA_E84A_PEP"
"259","HVO_A0505 [D4GRG7] (fadA4) enoyl-CoA hydratase",0.775140127,0.184693603,0.065427356
"260","HVO_A0503 [D4GRG5] amidohydrolase domain protein",0.780598495,0.575283503,0.358397687
"261","HVO_A0501 [D4GRG4] homolog to S-adenosylmethionine-dependent methyltransferase",0.727368794,0.000244843,0.038025207
"262","HVO_A0500 [D4GRG3] (mtfK1) FKBP-type peptidylprolyl isomerase",0.569211766,0.245845109,0.145974401
"263","HVO_A0499 [D4GRG2] conserved hypothetical protein",0.658046534,0.40927492,0.406240445
"264","HVO_A0498 [D4GRG1] conserved hypothetical protein",0.668904733,0.000244925,0.011659766
"265","HVO_A0496 [D4GRF9] UspA domain protein",0.601404112,0.000244843,0.000241787
"266","HVO_A0488 [D4GRF1] (cobA) cob(I)alamin adenosyltransferase",0.027634639,0.15544834,0.345356097
"267","HVO_A0487 [D4GRF0] (cbiA) cobyrinate a,c-diamide synthase",0.908052155,0.000244843,0.000241787
"268","HVO_A0486 [D4GRE9] (hypE1) HypE family protein",0.029231855,0.000489893,0.000241787
"269","HVO_A0485 [D4GRE8] pyridoxal phosphate-dependent aminotransferase",0.843130267,0.007120452,0.000241787
"270","HVO_A0477 [D4GRE2] (pstS2) ABC-type transport system periplasmic substrate-binding protein (probable substrate phosphate)",0.776332382,0.524623581,0.230886295
"271","HVO_A0476 [D4GRE1] conserved hypothetical protein",0.277834599,0.000244843,0.000725734
"272","HVO_A0474 [D4GRD9] conserved hypothetical protein",0.636248775,0.110000382,0.01605874
"273","HVO_A0472 [D4GRD7] (trxB6) oxidoreductase (homolog to thioredoxin-disulfide reductase)",0.810468309,0.000244843,0.000241787
"274","HVO_A0470 [D4GRD5] glyoxalase domain protein",0.715845805,0.000244843,0.008491768
"275","HVO_A0469 [D4GRD4] pirin domain protein",0.624996046,0.085067458,0.155702739
"276","HVO_A0467 [D4GRD2] RND superfamily permease",1,1,1
"277","HVO_A0466 [D4GRD1] conserved hypothetical protein",0.000825727,0.000244843,0.000241787
"278","HVO_A0465 [D4GRD0] TetR family transcription regulator",0.761321653,0.000244843,0.002662976
"279","HVO_A0463 [D4GRC8] (rnhA3) ribonuclease H, type 1",0.683027061,0.376071246,0.347831466
"280","HVO_A0459 [D4GRC4] conserved hypothetical protein",0.75761447,0.108412792,0.143821725
"281","HVO_A0458 [D4GRC3] ParA domain protein",0.001651191,0.586753597,0.6058412
"282","HVO_A0453 [D4GRB8] conserved hypothetical protein",0.729745668,0.398983985,0.421119588
"283","HVO_A0452 [D4GRB7] UspA domain protein",0.156583226,0.500206096,0.486857591
"284","HVO_A0451 [D4GRB6] DASS family transport protein",0.000825727,0.000979959,0.025640036
"285","HVO_A0444 [D4GRB0] conserved hypothetical protein",0.716387962,0.002451199,0.00727532
"286","HVO_A0443 [D4GRA9] conserved hypothetical protein",0.882782033,0.506704808,0.41949526
"287","HVO_A0441 [D4GRA7] (rad25a) DNA repair helicase Rad25",0.709566686,1,1
"288","HVO_A0440 [D4GRA6] DUF790 family protein",1,1,1
"289","HVO_A0439 [D4GRA5] DUF2800 family protein",0.727368794,0.033963195,0.000241787
"290","HVO_A0438 [D4GRA4] conserved hypothetical protein",0.680992273,1,1
"291","HVO_A0437 [D4GRA3] conserved hypothetical protein",0.72338069,0.005890177,0.028849161
"292","HVO_A0432 [D4GR98] conserved hypothetical protein",0.443158192,0.413798255,0.391186334
"293","HVO_A0430 [D4GR95] DUF1611 family protein",0.480451076,0.373861281,0.378490903
"294","HVO_A0429_A [D4GR94] homolog to dipeptide epimerase",0.000825727,0.362544625,0.473014666
"295","HVO_A0428 [D4GR92] (dppA9) ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide)",0.411041264,0.410243124,0.503906546
"296","HVO_A0426 [D4GR89] (dppD9) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)",0.6936456,0.32754629,0.393099855
"297","HVO_A0425 [D4GR88] (dppF9) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)",0.603438688,0.359728181,0.326004809
"298","HVO_A0424 [D4GR87] (boa6) HTH-10 family transcription regulator",0.711486399,0.399304568,0.400457427
"299","HVO_A0419 [D4GR83] HTH domain protein",0.406316023,0.449791749,0.456297856
"300","HVO_A0406 [D4GR72] conserved hypothetical protein<|>HVO_A0432 [D4GR98] conserved hypothetical protein",0.000825727,0.000244843,0.000241787
"301","HVO_A0406 [D4GR72] conserved hypothetical protein",0.016366788,0.166416007,0.198375489
"302","HVO_A0403 [D4GR69] ISHwa16-type transposase ISHvo16",0.68965459,0.186087547,0.220629303
"303","HVO_A0401 [D4GR67] Fido domain protein",0.763776526,0.000244843,0.161136749
"304","HVO_A0395 [D4GR61] conserved hypothetical protein",0.643826688,0.428098635,0.415603891
"305","HVO_A0394 [D4GR60] HTH domain protein",0.755375701,0.000244843,0.000241787
"306","HVO_A0393 [D4GR59] conserved hypothetical protein",0.678363832,0.408307306,0.367155495
"307","HVO_A0388 [D4GR56] Lrp/AsnC family transcription regulator",0.837376343,0.195320674,0.454636033
"308","HVO_A0385 [D4GR53] (hyuA3) N-methylhydantoinase (ATP-hydrolyzing) A",0.672176464,0.000244843,0.339801469
"309","HVO_A0380 [D4GR48] (dppA8) ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide)",0.000825727,0.232549582,0.334881326
"310","HVO_A0379 [D4GR47] (hyuA2) N-methylhydantoinase (ATP-hydrolyzing) A",0.000825727,0.000244843,0.000241787
"311","HVO_A0378 [D4GR46] (hyuB2) N-methylhydantoinase (ATP-hydrolyzing) B",0.000825727,0.000244843,0.000241787
"312","HVO_A0377 [D4GR45] (hyuE) hydantoin racemase",0.749351942,0.302032483,0.37407256
"313","HVO_A0376 [D4GR44] (pepQ2) probable Xaa-Pro dipeptidase",0.669203044,0.394502625,0.435160246
"314","HVO_A0369 [D4GR38] CopG domain protein",0.652220884,0.325709826,0.102237838
"315","HVO_A0350 [D4GR24] conserved hypothetical protein",0.707087227,1,1
"316","HVO_A0346 [D4GR21] XerC/D-like integrase",0.749351942,0.144833475,0.137651245
"317","HVO_A0341 [D4GR18] (amaB3) amidase (hydantoinase/carbamoylase family)",0.385098574,0.474131069,1
"318","HVO_A0339 [D4GR16] (dppA7) ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide)",0.818547277,0.18720365,0.291617786
"319","HVO_A0336 [D4GR13] (dppDF7) ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)",0.631134715,0.344792289,0.36370884
"320","HVO_A0335 [D4GR12] DUF1028 family protein",0.584494944,0.36787843,0.395335348
"321","HVO_A0332 [D4GR09] IclR family transcription regulator",0.700412709,0.279901813,0.214679793
"322","HVO_A0331 [D4GR08] (dgoD1) D-galactonate dehydratase",0.827325298,0.111059748,0.000241787
"323","HVO_A0329 [D4GR06] (kdgA3) 2-dehydro-3-deoxy-phosphogluconate aldolase, bacterial-type",0.248474162,0.035972207,0.025886618
"324","HVO_A0328 [D4GR05] (kdgK2) 2-keto-3-deoxygalactonate kinase",0.795444671,0.509792171,0.557604096
"325","HVO_A0307 [D4GQY5] Lrp/AsnC family transcription regulator",0.803805175,0.080132597,0.037278856
"326","HVO_A0305 [D4GQY3] (mmsA) methylmalonate-semialdehyde dehydrogenase",0.666211957,0.251371171,0.36151962
"327","HVO_A0303 [D4GQY1] (pucH2) probable allantoinase",0.612166885,0.308371443,0.352173241
"328","HVO_A0302 [D4GQY0] (ansB) asparaginase/glutaminase family protein",0.682446543,0.390990439,0.348760786
"329","HVO_A0296 [D4GQX4] probable oxidoreductase (short-chain dehydrogenase family)",0.71720005,0.443187059,0.397894231
"330","HVO_A0290 [D4GQW7] (kdgA2) 2-dehydro-3-deoxy-phosphogluconate aldolase, bacterial-type",0.741196565,0.171378338,0.270600894
"331","HVO_A0289 [D4GQW6] (ridA4) enamine/imine deaminase",0.751871395,0.397702302,0.350621161
"332","HVO_A0288 [D4GQW5] probable oxidoreductase (short-chain dehydrogenase family)",0.806037589,0.000244843,0.001451867
"333","HVO_A0287 [D4GQW4] homolog to mandelate racemase / homolog to muconate lactonizing enzyme",0.708466272,0.248460195,1
"334","HVO_A0284 [D4GQW1] (tsgB5) ABC-type transport system permease protein (probable substrate sugar)",0.686207825,1,1
"335","HVO_A0283 [D4GQW0] (tsgA5) ABC-type transport system periplasmic substrate-binding protein (probable substrate sugar)",0.667709718,0.212540728,0.221197215
"336","HVO_A0280 [D4GQV7] IclR family transcription regulator",0.761567735,0.263071448,0.292512501
"337","HVO_A0279_A [D4GQV6] (tfs3) transcription elongation factor TFS",0.702926401,0.149995178,0.153535027
"338","HVO_A0278 [D4GQV4] (sfsA) SfsA family DNA-binding protein",0.700692649,0.318690181,0.003147729
"339","HVO_A0276 [D4GQV3] FGGY family carbohydrate kinase",0.000825727,1,1
"340","HVO_A0275 [D4GQV2] conserved hypothetical protein",0.373223791,1,1
"341","HVO_A0274 [D4GQV1] (suhB2) probable inositol-1(or 4)-monophosphatase / fructose-1,6-bisphosphatase, archaeal-type",0.793844892,0.040755172,0.170423146
"342","HVO_A0273 [D4GQV0] ThuA family protein",0.715303036,0.274862713,0.276785744
"343","HVO_A0272 [D4GQU9] DUF336 family protein",0.000825727,0.000244843,0.000241787
"344","HVO_A0270 [D4GQU7] (glpB2) glycerol-3-phosphate dehydrogenase subunit B",0.636884515,1,1
"345","HVO_A0269 [D4GQU6] (glpA2) glycerol-3-phosphate dehydrogenase subunit A",1,1,1
"346","HVO_A0268 [D4GQU5] class II aldolase (homolog to L-fuculose-phosphate aldolase)",0.000825727,0.000244843,0.000241787
"347","HVO_A0267 [D4GQU4] (dgoD2) D-galactonate dehydratase<|>HVO_A0331 [D4GR08] (dgoD1) D-galactonate dehydratase",0.685631021,0.434969208,0.347212239
"348","HVO_A0267 [D4GQU4] (dgoD2) D-galactonate dehydratase",0.669203044,0.360666433,0.222902303
"349","HVO_A0266 [D4GQU3] IclR family transcription regulator",0.017176741,0.000244843,0.000241787
"350","HVO_A0257 [D4GQT6] (orc7) Orc1-type DNA replication protein",0.716658811,0.000244843,0.000241787
"351","HVO_A0256 [D4GQT5] conserved hypothetical protein",0.656825597,0.385260014,0.355282234
"352","HVO_A0254_A [D4GQT4] small CPxCG-related zinc finger protein<|>HVO_A0457_A [D4GRC2] small CPxCG-related zinc finger protein",0.635930614,0.387486042,0.37501826
"353","HVO_A0254 [D4GQT3] DUF234 domain protein",0.72123996,0.349444416,0.339493484
"354","HVO_A0253 [D4GQT2] HTH domain protein",0.463822652,0.000244925,0.00290533
"355","HVO_A0251 [D4GQT0] HTH domain protein",0.804252574,0.000244843,0.000241787
"356","HVO_A0245 [D4GQS4] HTH domain protein",0.640682689,0.000244843,0.000241787
"357","HVO_A0244 [D4GQS3] death-on-curing family protein",0.627266034,0.220226749,0.10145532
"358","HVO_A0243 [D4GQS2] conserved hypothetical protein",0.800660479,0.573141583,0.551233382
"359","HVO_A0242 [D4GQS1] conserved hypothetical protein",0.500300963,0.341080567,0.423396542
"360","HVO_A0239 [-] spurious ORF",1,1,1
"361","HVO_A0236 [D4GQR5] hypothetical protein",0.689081797,0.439566018,0.395974665
"362","HVO_A0235 [D4GQR4] hypothetical protein",0.676309868,0.372915104,0.313847803
"363","HVO_A0230 [D4GQQ9] (msrA1) peptide methionine sulfoxide reductase MsrA (S-form specific)",0.610833343,0.128652522,0.089512309
"364","HVO_A0229 [D4GQQ8] CBS domain protein",0.716387962,0.392266695,0.354037863
"365","HVO_A0228 [D4GQQ7] (surE2) 5'-nucleotidase SurE",0.788083635,0.486608521,0.524612044
"366","HVO_A0209 [D4GQN8] (cas3) CRISPR-associated nuclease/helicase Cas3",1,1,1
"367","HVO_A0208 [D4GQN7] (cas5) CRISPR-associated protein Cas5, Hmari subtype",0.0065853,0.000244843,0.000967734
"368","HVO_A0207 [D4GQN6] (cas7) CRISPR-associated protein Cas7",0.476231022,0.000244843,0.000241787
"369","HVO_A0206 [D4GQN5] (cas8b) CRISPR-associated protein Cas8b",0.000825727,0.000244843,0.58731192
"370","HVO_A0205 [D4GQN4] (cas6) CRISPR-associated endoribonuclease Cas6",0.000825727,0.000244843,0.040266755
"371","HVO_A0189 [D4GQL8] conserved hypothetical protein",0.685342367,0.128116251,0.092099767
"372","HVO_A0188 [D4GQL7] homolog to endonuclease VapC",0.668904733,0.425163114,0.406884359
"373","HVO_A0182 [D4GQL1] conserved hypothetical protein",0.677191173,0.42093242,0.415603891
"374","HVO_A0181 [D4GQL0] conserved hypothetical protein",0.703761423,0.001715384,0.000483779
"375","HVO_A0180 [D4GQK9] (sph1) Smc-like protein Sph1",0.863050885,0.000244843,0.000241787
"376","HVO_A0179 [D4GQK8] conserved hypothetical protein",0.653452871,0.41574077,0.370924503
"377","HVO_A0178 [D4GQK7] (atpD2) A-type ATP synthase subunit D",1,1,1
"378","HVO_A0175 [D4GQK4] (cat3) transport protein (probable substrate cationic amino acids)",1,0.397382043,1
"379","HVO_A0170 [D4GQJ9] conserved hypothetical protein",1,0.270430259,0.250172606
"380","HVO_A0167 [D4GQJ6] small CPxCG-related zinc finger protein",0.676015754,0.203764629,0.021700909
"381","HVO_A0164 [D4GQJ3] conserved hypothetical protein",0.667111147,1,1
"382","HVO_A0162 [D4GQJ1] MATE efflux family protein",0.545279283,0.359728181,0.3425762
"383","HVO_A0161 [D4GQJ0] TetR family transcription regulator",0.089196866,0.000244843,0.00411777
"384","HVO_A0160 [D4GQI9] sensor box histidine kinase",1,1,1
"385","HVO_A0159 [D4GQI8] (aspC4) pyridoxal phosphate-dependent aminotransferase",0.61944209,0.000244843,0.030827846
"386","HVO_A0158 [D4GQI7] (acs8) acyl-CoA synthetase",0.751116999,0.359728181,0.528437638
"387","HVO_A0157 [D4GQI6] (boa4) integrase family protein / bat box HTH-10 family transcription regulator",0.591460507,0.225372812,0.327836986
"388","HVO_A0156 [D4GQI5] (acs7) acyl-CoA synthetase",0.666511865,1,1
"389","HVO_A0153 [D4GQI2] UspA domain protein",0.673065068,0.331532779,0.352173241
"390","HVO_A0150 [D4GQH9] (trmB1) TrmB family transcription regulator",0.027634639,0.000244843,0.000483779
"391","HVO_A0140 [D4GQG9] HD family hydrolase",0.076502719,0.000244843,0.000241787
"392","HVO_A0135 [D4GQG4] HTH domain protein",0.686783958,0.403156631,0.295199922
"393","HVO_A0133 [D4GQG3] conserved hypothetical protein",0.318595258,0.000244843,0.171793982
"394","HVO_A0130 [D4GQG1] conserved hypothetical protein",0.646328172,0.33891948,0.108514087
"395","HVO_A0129 [D4GQG0] conserved hypothetical protein",0.736805362,0.000734904,0.000241787
"396","HVO_A0126 [D4GQF7] XerC/D-like integrase",1,1,1
"397","HVO_A0121 [D4GQF3] HTH-10 family transcription regulator_NumberOfIdenticalSequences_2",0.752373643,0.381451262,0.533669273
"398","HVO_A0119 [D4GQF1] cyclase family protein<|>HVO_A0415 [D4GR79] cyclase family protein",0.587988873,0.046060617,0.065681344
"399","HVO_A0118 [D4GQF0] PadR family transcription regulator_NumberOfIdenticalSequences_2",0.573877207,0.34448264,0.341342349
"400","HVO_A0115 [D4GQE7] conserved hypothetical protein<|>HVO_A0417 [D4GR81] conserved hypothetical protein",0.383134499,0.000734904,0.006545986
"401","HVO_A0114 [D4GQE6] HTH domain protein_NumberOfIdenticalSequences_2",0.000825727,0.243234552,0.207347891
"402","HVO_A0101 [D4GQD3] conserved hypothetical protein<|>HVO_A0138 [D4GQG7] conserved hypothetical protein",0.600724203,0.373545826,0.305096034
"403","HVO_A0097 [D4GQC9] (hbd2) 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase",0.698448619,0.421907739,0.414308964
"404","HVO_A0095 [D4GQC7] amidohydrolase domain protein",1,1,1
"405","HVO_A0092 [D4GQC4] (acd6) acyl-CoA dehydrogenase",1,1,1
"406","HVO_A0087 [D4GQB9] fumarylacetoacetase family protein",0.376709776,1,1
"407","HVO_A0084 [D4GQB6] amidohydrolase domain protein",1,1,1
"408","HVO_A0083 [D4GQB5] Rieske-type iron-sulfur protein (2Fe-2S)",1,1,1
"409","HVO_A0082 [D4GQB4] IclR family transcription regulator",1,1,1
"410","HVO_A0064 [D4GQ96] (orc13) Orc1-type DNA replication protein",1,1,1
"411","HVO_A0049 [D4GQ81] DUF21/CBS domain protein",1,1,1
"412","HVO_A0048 [D4GQ80] conserved hypothetical protein",1,1,1
"413","HVO_A0047 [D4GQ79] UspA domain protein",0.680992273,0.441210933,0.000241787
"414","HVO_A0045 [D4GQ77] (htpX3) HtpX-like protease",1,1,1
"415","HVO_A0027 [D4GQ59] HTH domain protein<|>HVO_A0397 [D4GR63] HTH domain protein",0.571728824,0.37543951,0.291915964
"416","HVO_A0027 [D4GQ59] HTH domain protein",1,1,1
"417","HVO_A0021 [D4GQ53] conserved hypothetical protein",1,1,0.043011519
"418","HVO_A0013 [D4GQ45] conserved hypothetical protein",0.643513147,0.392266695,0.404310332
"419","HVO_A0012 [D4GQ44] hypothetical protein",0.77965397,0.3299983,0.44305298
"420","HVO_A0011 [D4GQ43] ArsR family transcription regulator<|>HVO_A0436 [D4GRA2] ArsR family transcription regulator",1,1,1
"421","HVO_A0010 [D4GQ42] DUF2204 family protein<|>HVO_A0435 [D4GRA1] DUF2204 family protein",0.799305799,0.502939251,0.322956197
"422","HVO_A0010 [D4GQ42] DUF2204 family protein",0.668008738,0.402835268,0.404310332
"423","HVO_A0009 [D4GQ41] probable S-adenosylmethionine-dependent methyltransferase<|>HVO_A0434 [D4GRA0] probable S-adenosylmethionine-dependent methyltransferase (nonfunctional)",1,1,1
"424","HVO_A0009 [D4GQ41] probable S-adenosylmethionine-dependent methyltransferase",0.038750522,1,0.368724769
"425","HVO_A0006 [D4GQ38] adenine specific DNA methyltransferase (nonfunctional)",1,1,1
"426","HVO_A0005 [D4GQ37] integrase family protein",0.731061015,0.063378455,0.072812416
"427","HVO_A0003 [D4GQ36] (parA3) ParA domain protein",0.703761423,0.26043099,0.557604096
"428","HVO_A0002 [D4GQ35] conserved hypothetical protein",0.692223952,0.000244843,0.000241787
"429","HVO_A0001 [D4GQ34] (orc3) Orc1-type DNA replication protein",0.664709739,0.355357101,0.412691847
"430","HVO_3014 [D4GYC9] (oapA) origin-associated GTP-binding protein OapA",0.450271542,0.290329138,0.000241787
"431","HVO_3013 [D4GYC7] (oapB) origin-associated protein OapB",0.821779732,0.000244843,0.000241787
"432","HVO_3012 [D4GYC6] (oapC) origin-associated protein OapC",0.486309524,0.000244843,0.507682269
"433","HVO_3011 [D4GYC4] conserved hypothetical protein",1,0.37165442,0.337646908
"434","HVO_3010 [D4GYC2] (hef) ATP-dependent RNA helicase/nuclease Hef",0.779180959,0.369136084,0.594190233
"435","HVO_3009 [D4GYB9] UspA domain protein",0.265651596,0.000244843,0.001936178
"436","HVO_3008 [D4GYB7] UPF0148 family protein",0.784590618,0.083507235,0.006059987
"437","HVO_3007 [Q9P9L2] (mdh) malate dehydrogenase",0.540747351,0.142665583,0.008005055
"438","HVO_3006 [D4GYB4] (uvrC) UvrABC system protein C",0.708466272,0.512197479,0.425350913
"439","HVO_3005 [D4GYB1] (htr15b) transducer protein Htr15",0.756869425,0.026954253,0.466975883
"440","HVO_3003 [D4GYA4] conserved hypothetical protein",0.514761147,0.098135979,0.046012217
"441","HVO_3002 [D4GYA3] ABC-type transport system ATP-binding protein",0.498264074,0.609202271,0.026133246
"442","HVO_3001 [D4GYA0] ABC-type transport system permease protein",0.694779963,0.358165678,0.00751852
"443","HVO_3000 [D4GY98] (ligN) DNA ligase (NAD)",0.025232999,0.558224611,0.600005253
"444","HVO_2998 [D4GY94] (metX) homoserine O-acetyltransferase",0.724979949,0.369765289,0.396294424
"445","HVO_2997 [D4GY92] (metY2) O-acetylhomoserine aminocarboxypropyltransferase (methionine synthase)",0.794531223,0.420607446,0.542075878
"446","HVO_2996 [D4GY91] transport protein (probable substrate phosphate/sulfate)",0.50797731,0.389715213,0.377858919
"447","HVO_2995 [D4GY89] (fdx) ferredoxin (2Fe-2S)",0.059001478,0.0162585,0.033801373
"448","HVO_2993 [D4GY85] (pibD) prepilin/prearchaellin peptidase",0.019601863,0.391628438,0.398854923
"449","HVO_2992 [D4GY83] (hisI) phosphoribosyl-AMP cyclohydrolase",0.63941972,0.322959211,0.363083023
